note,id,name,avatar,icon,type,kind,logic,camp,ai,hate_id,hate_case,lv,dizzyable,knockupable,repulseable,silentable,poisonable,fireable,invincible,confineable,can_be_pass_by_enemy,can_be_pass_by_self,showBigHp,showHP,skill0,skill1,skill2,skill3,skill4,skill5,skill6,is_multistate,state_switch
赵忠（常侍）,1012004,赵忠(常侍),1009,head_b_006,2,-1,-1,3,10203,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,9,-1,-1,-1,-1,-1,-1,,
封谞（常侍）,1012005,封谞(常侍),1009,head_b_006,2,-1,-1,3,10203,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,9,-1,-1,-1,-1,-1,-1,,
曹操,1012006,曹操,111,head_a_117,0,-1,-1,9,10203,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1009,1010,1011,-1,1012,-1,-1,,
莽之颅,1012007,莽之颅,43,head_b_008,1,-1,-1,9,-1,1,-1,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,3,-1,-1,-1,-1,-1,-1,-1,,
##2-7##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十常侍,1013001,十常侍,1018,head_b_006,2,-1,-1,3,10203,1,-1,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,18,-1,-1,-1,-1,-1,-1,,
蹇硕（常侍）,1013002,蹇硕（常侍）,1009,head_b_006,2,-1,-1,3,10203,1,-1,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,9,-1,-1,-1,-1,-1,-1,,
莽之颅,1013003,莽之颅,43,head_b_008,1,-1,-1,9,-1,1,-1,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,3,-1,-1,-1,-1,-1,-1,-1,,
主角幻象,1013004,主角幻象,1,head_b_014,1,-1,-1,3,10203,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,101,102,103,104,105,106,107,,
##2-8##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
程旷（常侍）,1014001,程旷（常侍）,1009,head_b_006,2,-1,-1,3,10203,1,-1,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,9,-1,-1,-1,-1,-1,-1,,
夏恽（常侍）,1014002,夏恽（常侍）,1009,head_b_006,2,-1,-1,3,10203,1,-1,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,9,-1,-1,-1,-1,-1,-1,,
郭胜（常侍）,1014003,郭胜（常侍）,1009,head_b_006,2,-1,-1,3,10203,1,-1,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,9,-1,-1,-1,-1,-1,-1,,
宫殿卫队长,1014004,宫殿卫队长,1003,head_b_002,1,-1,-1,3,10203,1,-1,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,3,-1,-1,-1,-1,-1,-1,,
宫殿侍卫2,1014005,宫殿侍卫,1016,head_a_113,1,-1,-1,3,10203,1,-1,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,16,-1,-1,-1,-1,-1,-1,,
普通侍女,1014006,侍女,1019,head_a_113,1,-1,-1,3,10203,1,-1,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,19,-1,-1,-1,-1,-1,-1,,
普通策士,1014007,普通策士,1018,head_b_006,1,-1,-1,3,10203,1,-1,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,18,-1,-1,-1,-1,-1,-1,,
黑衣人(BOSS),1014008,黑衣人(BOSS),105,head_b_016,3,-1,-1,3,10203,1,-1,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,1041,1042,1043,-1,1044,-1,-1,,
