note,id,main,body,weapon_left,weapon_right,half_image,dead_show,dizziness_show,knockup_show,repulse_show,silent_show,poison_show,firing_show,relive_show,invincible_show,born_show,exit_show,victory_show,confine_show,hp50_show,mass,shadow,shadow_scale,height_offset,behit_sound,scale
黄巾军刀兵,1032,assetbundle/huangjinjun_04(animatormodel).animatormodel,,,,gaine_203,AssetBundle/tx_hjj04_die01(matinee).matinee,AssetBundle/tx_hjj04_vertigo01(matinee).matinee,AssetBundle/tx_hjj04_fly01(matinee).matinee,AssetBundle/tx_hjj04_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
精英怪弩手01,1033,assetbundle/jingyingguai_01(animatormodel).animatormodel,,,,gaine_211,AssetBundle/tx_jyg01_die01(matinee).matinee,AssetBundle/tx_jyg01_vertigo01(matinee).matinee,AssetBundle/tx_jyg01_fly01(matinee).matinee,AssetBundle/tx_jyg01_back01(matinee).matinee,,,,,,AssetBundle/pb_chuchang03(matinee).matinee,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
远程精英怪02,1034,assetbundle/jingyingguai02(animatormodel).animatormodel,,,,gaine_204,AssetBundle/tx_jyg02_die01(matinee).matinee,AssetBundle/tx_jyg02_vertigo01(matinee).matinee,AssetBundle/tx_jyg02_fly01(matinee).matinee,AssetBundle/tx_jyg02_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
普通汉朝长枪兵（突然出现，带出场特效）,1035,assetbundle/qiangbing_02(animatormodel).animatormodel,,,,,AssetBundle/tx_qb02_die01(matinee).matinee,AssetBundle/tx_qb02_vertigo01(matinee).matinee,AssetBundle/tx_qb02_fly01(matinee).matinee,AssetBundle/tx_qb02_back01(matinee).matinee,,,,,,AssetBundle/pb_chuchang01(matinee).matinee,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
普通黄巾长枪兵（突然出现，带出场特效）,1036,assetbundle/huangjinjun_02(animatormodel).animatormodel,,,,,AssetBundle/tx_hjj02_die01(matinee).matinee,AssetBundle/tx_hjj02_vertigo01(matinee).matinee,AssetBundle/tx_hjj02_fly01(matinee).matinee,AssetBundle/tx_hjj02_back01(matinee).matinee,,,,,,AssetBundle/pb_chuchang01(matinee).matinee,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
远程精英怪03,1037,assetbundle/jingyingguai03(animatormodel).animatormodel,,,,gaine_205,AssetBundle/tx_jyg03_die01(matinee).matinee,AssetBundle/tx_jyg03_vertigo01(matinee).matinee,AssetBundle/tx_jyg03_fly01(matinee).matinee,AssetBundle/tx_jyg03_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
普通汉朝枪兵2（突然出现，带出场特效）,1038,assetbundle/qiangbing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_qb02_die01(matinee).matinee,AssetBundle/tx_qb02_vertigo01(matinee).matinee,AssetBundle/tx_qb02_fly01(matinee).matinee,AssetBundle/tx_qb02_back01(matinee).matinee,,,,,,AssetBundle/pb_chuchang01(matinee).matinee,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
出场宫殿侍卫刀兵,1039,assetbundle/shiwei_02(animatormodel).animatormodel,,,,,AssetBundle/tx_sw02_die01(matinee).matinee,AssetBundle/tx_sw02_vertigo01(matinee).matinee,AssetBundle/tx_sw02_fly01(matinee).matinee,AssetBundle/tx_sw02_back01(matinee).matinee,,,,,,AssetBundle/tx_sw02_born01(matinee).matinee,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
突然刷出的蒙面刺客（带出生特效）,1040,assetbundle/cike_01(animatormodel).animatormodel,,,,,AssetBundle/tx_ck01_die01(matinee).matinee,AssetBundle/tx_ck01_vertigo01(matinee).matinee,AssetBundle/tx_ck01_fly01(matinee).matinee,AssetBundle/tx_ck01_back01(matinee).matinee,,,,,,AssetBundle/pb_chuchang01(matinee).matinee,,,,,12,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
1-1bosss队长,2001,assetbundle/shiwei_01(animatormodel).animatormodel,,,,,AssetBundle/tx_sw01_die01(matinee).matinee,AssetBundle/tx_sw01_vertigo01(matinee).matinee,AssetBundle/tx_sw01_fly01(matinee).matinee,AssetBundle/tx_sw01_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.18,,1.2
1-2boss皇莆嵩,2002,assetbundle/shiwei_04(animatormodel).animatormodel,,,,,AssetBundle/tx_sw04_die01(matinee).matinee,AssetBundle/tx_sw04_vertigo01(matinee).matinee,AssetBundle/tx_sw04_fly01(matinee).matinee,AssetBundle/tx_sw04_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.18,,1.2
1-3boss张曼成,2003,assetbundle/huangjinjun_04(animatormodel).animatormodel,,,,,AssetBundle/tx_hjj04_die01(matinee).matinee,AssetBundle/tx_hjj04_vertigo01(matinee).matinee,AssetBundle/tx_hjj04_fly01(matinee).matinee,AssetBundle/tx_hjj04_back01(matinee).matinee,,,,,,,,,,,12,AssetBundle/characters_shadow(gameobject).gameobject,1,0.3,,1.2
1-4boss张宝,2004,assetbundle/jingyingguai02(animatormodel).animatormodel,,,,,AssetBundle/tx_jyg02_die01(matinee).matinee,AssetBundle/tx_jyg02_vertigo01(matinee).matinee,AssetBundle/tx_jyg02_fly01(matinee).matinee,AssetBundle/tx_jyg02_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
血条飞到天上去的卢植,2005,assetbundle/shiwei_04(animatormodel).animatormodel,,,,,AssetBundle/tx_sw04_die01(matinee).matinee,AssetBundle/tx_sw04_vertigo01(matinee).matinee,AssetBundle/tx_sw04_fly01(matinee).matinee,AssetBundle/tx_sw04_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,5,,1.2
